estimator,is_onnx,function,n_samples_train,n_samples,n_features,hyperparams_digest,dataset_digest,mean_duration,std_duration,n_iter,best_iteration,iteration_throughput,latency,colsample_bynode,learning_rate,max_bin,max_leaves,min_child_weight,n_estimators,subsample,tree_method,use_label_encoder,validate_parameters,accuracy_score
XGBClassifier,False,fit,100000,100000,100,86618b274d5713489f58c2ad551fbf52,62fc4b137de48fa1b9bde10f081865aa,23.541589327999645,0.0,,99,0.0033982412523376427,0.00023541589327999646,0.8,0.05,255,100,20,100,0.5,hist,False,True,
XGBClassifier,False,predict,100000,1000,100,86618b274d5713489f58c2ad551fbf52,62fc4b137de48fa1b9bde10f081865aa,0.008460275000288675,0.0,,99,0.0945595740058926,8.460275000288675e-06,0.8,0.05,255,100,20,100,0.5,hist,False,True,0.792
XGBClassifier,False,fit,100000,100000,100,5ddd7dbb27a524cefa8d71ddab7be766,62fc4b137de48fa1b9bde10f081865aa,4.939018996999948,0.0,,29,0.016197548551360803,4.939018996999948e-05,0.8,0.5,128,30,200,30,0.8,hist,False,True,
XGBClassifier,False,predict,100000,1000,100,5ddd7dbb27a524cefa8d71ddab7be766,62fc4b137de48fa1b9bde10f081865aa,0.004064183999616944,0.0,,29,0.19684148160501627,4.064183999616944e-06,0.8,0.5,128,30,200,30,0.8,hist,False,True,0.802
XGBClassifier,False,fit,100000,100000,100,57a65118ad5a0a780bc2b5c88026f849,62fc4b137de48fa1b9bde10f081865aa,3.67675681000037,0.0,,29,0.02175830606539135,3.67675681000037e-05,0.8,0.1,64,10,200,30,1.0,hist,False,True,
XGBClassifier,False,predict,100000,1000,100,57a65118ad5a0a780bc2b5c88026f849,62fc4b137de48fa1b9bde10f081865aa,0.003140564000204904,0.0,,29,0.25473131575978214,3.140564000204904e-06,0.8,0.1,64,10,200,30,1.0,hist,False,True,0.68
XGBClassifier,False,fit,100000,100000,100,50bde56d96abab16aea7ec1cd6338332,62fc4b137de48fa1b9bde10f081865aa,9.547395904999576,0.0,,29,0.008379248205063677,9.547395904999575e-05,0.8,0.05,255,100,10,30,0.8,hist,False,True,
XGBClassifier,False,predict,100000,1000,100,50bde56d96abab16aea7ec1cd6338332,62fc4b137de48fa1b9bde10f081865aa,0.010142608999558433,0.0,,29,0.0788751691044019,1.0142608999558433e-05,0.8,0.05,255,100,10,30,0.8,hist,False,True,0.777
XGBClassifier,False,fit,100000,100000,100,aee930aeae8d30f44aa8b91d3f40e1de,62fc4b137de48fa1b9bde10f081865aa,2.1892902769996,0.0,,9,0.03654152253836307,2.1892902769996e-05,0.8,0.01,64,30,10,10,1.0,hist,False,True,
XGBClassifier,False,predict,100000,1000,100,aee930aeae8d30f44aa8b91d3f40e1de,62fc4b137de48fa1b9bde10f081865aa,0.0024047490005614236,0.0,,9,0.3326750524953866,2.4047490005614235e-06,0.8,0.01,64,30,10,10,1.0,hist,False,True,0.71
XGBClassifier,False,fit,100000,100000,100,c20d0358f277f989ed508460286aafb9,62fc4b137de48fa1b9bde10f081865aa,10.802181033000124,0.0,,99,0.00740591180203368,0.00010802181033000125,0.8,0.5,32,10,200,100,0.5,hist,False,True,
XGBClassifier,False,predict,100000,1000,100,c20d0358f277f989ed508460286aafb9,62fc4b137de48fa1b9bde10f081865aa,0.007125047000045015,0.0,,99,0.11227996109989812,7.125047000045015e-06,0.8,0.5,32,10,200,100,0.5,hist,False,True,0.778
XGBClassifier,False,fit,100000,100000,100,6563ade06cf71c3d6525822c9458336c,62fc4b137de48fa1b9bde10f081865aa,54.833689603000494,0.0,,299,0.0014589570860397182,0.0005483368960300049,1.0,1.0,128,100,10,300,0.8,hist,False,True,
XGBClassifier,False,predict,100000,1000,100,6563ade06cf71c3d6525822c9458336c,62fc4b137de48fa1b9bde10f081865aa,0.020895831999951042,0.0,,299,0.038285147009311446,2.0895831999951043e-05,1.0,1.0,128,100,10,300,0.8,hist,False,True,0.794
XGBClassifier,False,fit,100000,100000,100,91168b4e86556b38af011e0d67d8da98,62fc4b137de48fa1b9bde10f081865aa,15.209974077999505,0.0,,99,0.0052597065313685284,0.00015209974077999504,1.0,0.1,64,100,10,100,0.5,hist,False,True,
XGBClassifier,False,predict,100000,1000,100,91168b4e86556b38af011e0d67d8da98,62fc4b137de48fa1b9bde10f081865aa,0.008433574000264343,0.0,,99,0.09485895303401912,8.433574000264343e-06,1.0,0.1,64,100,10,100,0.5,hist,False,True,0.805
XGBClassifier,False,fit,100000,100000,100,34bcf9daf3b7ff0d735e2e75df0d7502,62fc4b137de48fa1b9bde10f081865aa,4.7584980540004835,0.0,,29,0.01681202747004252,4.7584980540004833e-05,1.0,0.5,255,10,200,30,0.5,hist,False,True,
XGBClassifier,False,predict,100000,1000,100,34bcf9daf3b7ff0d735e2e75df0d7502,62fc4b137de48fa1b9bde10f081865aa,0.0033783700000640238,0.0,,29,0.2368005872609688,3.378370000064024e-06,1.0,0.5,255,10,200,30,0.5,hist,False,True,0.77
XGBClassifier,False,fit,100000,100000,100,3a160287785b9ea5fac670fa908c42bc,62fc4b137de48fa1b9bde10f081865aa,20.5475163709998,0.0,,99,0.003893414588680401,0.00020547516370999803,0.8,0.01,255,30,2,100,0.5,hist,False,True,
XGBClassifier,False,predict,100000,1000,100,3a160287785b9ea5fac670fa908c42bc,62fc4b137de48fa1b9bde10f081865aa,0.006912142999681237,0.0,,99,0.11573834627508331,6.9121429996812365e-06,0.8,0.01,255,30,2,100,0.5,hist,False,True,0.734
XGBClassifier,False,fit,100000,100000,100,a0476679c0d4308af74e7481e857957b,62fc4b137de48fa1b9bde10f081865aa,3.8797462550001,0.0,,29,0.020619905205629986,3.8797462550001e-05,0.5,1.0,64,10,200,30,0.5,hist,False,True,
XGBClassifier,False,predict,100000,1000,100,a0476679c0d4308af74e7481e857957b,62fc4b137de48fa1b9bde10f081865aa,0.0035241730001871474,0.0,,29,0.22700361189916524,3.5241730001871472e-06,0.5,1.0,64,10,200,30,0.5,hist,False,True,0.763
